Year,Month,Temperature_Anomaly
2016,Sep,0.91
2017,Sep,0.77
2018,Sep,0.8
2019,Sep,0.93
2020,Sep,0.99
2021,Sep,0.92
2022,Sep,0.9
1880,Oct,-0.24
1881,Oct,-0.22
1882,Oct,-0.24
1883,Oct,-0.11
1884,Oct,-0.25
1885,Oct,-0.24
1886,Oct,-0.28
1887,Oct,-0.36
1888,Oct,0.01
1889,Oct,-0.26
1890,Oct,-0.25
1891,Oct,-0.22
1892,Oct,-0.14
1893,Oct,-0.19
1894,Oct,-0.24
1895,Oct,-0.1
1896,Oct,0.06
1897,Oct,-0.13
1898,Oct,-0.34
1899,Oct,-0.04
1900,Oct,0.1
1901,Oct,-0.29
1902,Oct,-0.3
1903,Oct,-0.46
1904,Oct,-0.39
1905,Oct,-0.25
1906,Oct,-0.19
1907,Oct,-0.22
1908,Oct,-0.44
1909,Oct,-0.4
1910,Oct,-0.41
1911,Oct,-0.27
1912,Oct,-0.57
1913,Oct,-0.32
1914,Oct,-0.03
1915,Oct,-0.24
1916,Oct,-0.33
1917,Oct,-0.44
1918,Oct,-0.06
1919,Oct,-0.2
1920,Oct,-0.26
1921,Oct,-0.03
1922,Oct,-0.31
1923,Oct,-0.13
1924,Oct,-0.35
1925,Oct,-0.17
1926,Oct,-0.12
1927,Oct,-0.01
1928,Oct,-0.19
1929,Oct,-0.14
1930,Oct,-0.12
1931,Oct,0.06
1932,Oct,-0.09
1933,Oct,-0.24
1934,Oct,-0.06
1935,Oct,-0.05
1936,Oct,-0.02
1937,Oct,0.09
1938,Oct,0.15
1939,Oct,-0.03
1940,Oct,0.11
1941,Oct,0.35
1942,Oct,0.02
1943,Oct,0.23
1944,Oct,0.26
1945,Oct,0.19
1946,Oct,-0.08
1947,Oct,0.08
1948,Oct,-0.05
1949,Oct,-0.07
1950,Oct,-0.2
1951,Oct,0.08
1952,Oct,0
1953,Oct,0.08
1954,Oct,-0.02
1955,Oct,-0.05
1956,Oct,-0.23
1957,Oct,0.01
1958,Oct,0.04
1959,Oct,-0.07
1960,Oct,0.06
1961,Oct,0
1962,Oct,0.01
1963,Oct,0.14
1964,Oct,-0.32
1965,Oct,-0.05
1966,Oct,-0.17
1967,Oct,0.09
1968,Oct,0.09
1969,Oct,0.09
1970,Oct,0.03
1971,Oct,-0.04
1972,Oct,0.08
1973,Oct,0.1
1974,Oct,-0.05
1975,Oct,-0.11
1976,Oct,-0.24
1977,Oct,0.03
1978,Oct,0.03
1979,Oct,0.26
1980,Oct,0.13
1981,Oct,0.12
1982,Oct,0.13
1983,Oct,0.17
1984,Oct,0.14
1985,Oct,0.12
1986,Oct,0.15
1987,Oct,0.33
1988,Oct,0.38
1989,Oct,0.29
1990,Oct,0.45
1991,Oct,0.29
1992,Oct,0.06
1993,Oct,0.23
1994,Oct,0.42
1995,Oct,0.47
1996,Oct,0.2
1997,Oct,0.61
1998,Oct,0.41
1999,Oct,0.34
2000,Oct,0.26
2001,Oct,0.5
2002,Oct,0.54
2003,Oct,0.73
2004,Oct,0.61
2005,Oct,0.75
2006,Oct,0.7
2007,Oct,0.59
2008,Oct,0.67
2009,Oct,0.65
2010,Oct,0.71
2011,Oct,0.66
2012,Oct,0.79
2013,Oct,0.69
2014,Oct,0.81
2015,Oct,1.09
2016,Oct,0.89
2017,Oct,0.9
2018,Oct,1.02
2019,Oct,1.01
2020,Oct,0.88
2021,Oct,1
2022,Oct,0.97
1880,Nov,-0.22
1881,Nov,-0.19
1882,Nov,-0.17
1883,Nov,-0.23
1884,Nov,-0.34
1885,Nov,-0.24
1886,Nov,-0.27
1887,Nov,-0.27
1888,Nov,0.02
1889,Nov,-0.34
1890,Nov,-0.44
1891,Nov,-0.32
1892,Nov,-0.42
1893,Nov,-0.19
1894,Nov,-0.27
1895,Nov,-0.17
1896,Nov,-0.04
1897,Nov,-0.17
1898,Nov,-0.38
1899,Nov,0.12
1900,Nov,-0.06
1901,Nov,-0.16
1902,Nov,-0.36
1903,Nov,-0.42
1904,Nov,-0.17
1905,Nov,-0.07
1906,Nov,-0.38
1907,Nov,-0.46
1908,Nov,-0.52
1909,Nov,-0.32
1910,Nov,-0.57
1911,Nov,-0.22
1912,Nov,-0.39
1913,Nov,-0.2
1914,Nov,-0.15
1915,Nov,-0.13
1916,Nov,-0.46
1917,Nov,-0.33
1918,Nov,-0.11
1919,Nov,-0.41
1920,Nov,-0.27
1921,Nov,-0.14
1922,Nov,-0.14
1923,Nov,-0.02
1924,Nov,-0.2
1925,Nov,0.06
1926,Nov,-0.06
1927,Nov,-0.05
1928,Nov,-0.09
1929,Nov,-0.12
1930,Nov,0.18
1931,Nov,-0.06
1932,Nov,-0.27
1933,Nov,-0.3
1934,Nov,0.04
1935,Nov,-0.25
1936,Nov,0.02
1937,Nov,0.08
1938,Nov,0.08
1939,Nov,0.08
1940,Nov,0.16
1941,Nov,0.23
1942,Nov,0.1
1943,Nov,0.2
1944,Nov,0.11
1945,Nov,0.07
1946,Nov,-0.05
1947,Nov,0.03
1948,Nov,-0.12
1949,Nov,-0.1
1950,Nov,-0.34
1951,Nov,-0.01
1952,Nov,-0.13
1953,Nov,-0.03
1954,Nov,0.08
1955,Nov,-0.25
1956,Nov,-0.15
1957,Nov,0.08
1958,Nov,0.02
1959,Nov,-0.08
1960,Nov,-0.11
1961,Nov,0.03
1962,Nov,0.06
1963,Nov,0.15
1964,Nov,-0.21
1965,Nov,-0.06
1966,Nov,-0.01
1967,Nov,-0.05
1968,Nov,-0.05
1969,Nov,0.12
1970,Nov,0.02
1971,Nov,-0.07
1972,Nov,0.02
1973,Nov,0.04
1974,Nov,-0.08
1975,Nov,-0.17
1976,Nov,-0.06
1977,Nov,0.16
1978,Nov,0.14
1979,Nov,0.28
1980,Nov,0.3
1981,Nov,0.23
1982,Nov,0.18
1983,Nov,0.3
1984,Nov,0.07
1985,Nov,0.05
1986,Nov,0.1
1987,Nov,0.29
1988,Nov,0.12
1989,Nov,0.2
1990,Nov,0.46
1991,Nov,0.3
1992,Nov,0.03
1993,Nov,0.03
1994,Nov,0.44
1995,Nov,0.44
1996,Nov,0.38
1997,Nov,0.64
1998,Nov,0.43
1999,Nov,0.37
2000,Nov,0.3
2001,Nov,0.72
2002,Nov,0.59
2003,Nov,0.53
2004,Nov,0.73
2005,Nov,0.74
2006,Nov,0.74
2007,Nov,0.59
2008,Nov,0.69
2009,Nov,0.8
2010,Nov,0.82
2011,Nov,0.59
2012,Nov,0.79
2013,Nov,0.84
2014,Nov,0.67
2015,Nov,1.06
2016,Nov,0.92
2017,Nov,0.88
2018,Nov,0.82
2019,Nov,0.99
2020,Nov,1.1
2021,Nov,0.94
2022,Nov,0.73
1880,Dec,-0.18
1881,Dec,-0.07
1882,Dec,-0.36
1883,Dec,-0.11
1884,Dec,-0.31
1885,Dec,-0.11
1886,Dec,-0.26
1887,Dec,-0.33
1888,Dec,-0.04
1889,Dec,-0.29
1890,Dec,-0.32
1891,Dec,-0.05
1892,Dec,-0.39
1893,Dec,-0.34
1894,Dec,-0.23
1895,Dec,-0.14
1896,Dec,-0.04
1897,Dec,-0.2
1898,Dec,-0.23
1899,Dec,-0.26
1900,Dec,-0.07
1901,Dec,-0.27
1902,Dec,-0.41
1903,Dec,-0.5
1904,Dec,-0.33
1905,Dec,-0.13
1906,Dec,-0.14
1907,Dec,-0.47
1908,Dec,-0.49
1909,Dec,-0.56
1910,Dec,-0.67
1911,Dec,-0.21
1912,Dec,-0.43
1913,Dec,-0.02
1914,Dec,-0.04
1915,Dec,-0.2
1916,Dec,-0.81
1917,Dec,-0.67
1918,Dec,-0.29
1919,Dec,-0.42
1920,Dec,-0.46
1921,Dec,-0.17
1922,Dec,-0.19
1923,Dec,-0.03
1924,Dec,-0.42
1925,Dec,0.07
1926,Dec,-0.3
1927,Dec,-0.33
1928,Dec,-0.16
1929,Dec,-0.54
1930,Dec,-0.05
1931,Dec,-0.05
1932,Dec,-0.26
1933,Dec,-0.44
1934,Dec,-0.02
1935,Dec,-0.16
1936,Dec,0
1937,Dec,-0.07
1938,Dec,-0.12
1939,Dec,0.43
1940,Dec,0.31
1941,Dec,0.22
1942,Dec,0.13
1943,Dec,0.24
1944,Dec,0.04
1945,Dec,-0.06
1946,Dec,-0.31
1947,Dec,-0.13
1948,Dec,-0.23
1949,Dec,-0.18
1950,Dec,-0.21
1951,Dec,0.16
1952,Dec,-0.02
1953,Dec,0.05
1954,Dec,-0.18
1955,Dec,-0.28
1956,Dec,-0.06
1957,Dec,0.15
1958,Dec,0.01
1959,Dec,0
1960,Dec,0.19
1961,Dec,-0.16
1962,Dec,-0.03
1963,Dec,-0.03
1964,Dec,-0.29
1965,Dec,-0.08
1966,Dec,-0.03
1967,Dec,-0.05
1968,Dec,-0.14
1969,Dec,0.24
1970,Dec,-0.12
1971,Dec,-0.08
1972,Dec,0.18
1973,Dec,-0.07
1974,Dec,-0.08
1975,Dec,-0.17
1976,Dec,0.11
1977,Dec,0.03
1978,Dec,0.08
1979,Dec,0.48
1980,Dec,0.22
1981,Dec,0.41
1982,Dec,0.43
1983,Dec,0.17
1984,Dec,-0.04
1985,Dec,0.14
1986,Dec,0.13
1987,Dec,0.46
1988,Dec,0.29
1989,Dec,0.37
1990,Dec,0.41
1991,Dec,0.32
1992,Dec,0.22
1993,Dec,0.18
1994,Dec,0.38
1995,Dec,0.26
1996,Dec,0.37
1997,Dec,0.59
1998,Dec,0.55
1999,Dec,0.41
2000,Dec,0.28
2001,Dec,0.56
2002,Dec,0.44
2003,Dec,0.75
2004,Dec,0.51
2005,Dec,0.68
2006,Dec,0.79
2007,Dec,0.5
2008,Dec,0.54
2009,Dec,0.68
2010,Dec,0.45
2011,Dec,0.61
2012,Dec,0.54
2013,Dec,0.7
2014,Dec,0.78
2015,Dec,1.16
2016,Dec,0.86
2017,Dec,0.93
2018,Dec,0.91
2019,Dec,1.09
2020,Dec,0.81
2021,Dec,0.85
2022,Dec,0.79
